91153		1		1		0.000007			29			-1000000000
91153		2		2		0.000002			52			-1000000000
91153		3		6		0.000001			64			-1000000000
91153		4		3		0.000002			84			-1000000000
91153		5		27		0.000005			136			-1000000000
91153		6		133		0.000011			116			-1000000000
91153		7		390		0.000074			161			-1000000000
91153		8		328		0.000161			156			-1000000000
91153		9		152		0.000586			162			-1000000000
91153		10		508		0.001420			198			-1000000000
91153		11		1408		0.013105			227			-1000000000
91153		12		909		0.015264			224			-1000000000
91153		13		1537		0.029338			213			-1000000000
91153		14		6398		0.436084			251			-1000000000
91153		15		27259		6.641593			253			-1000000000
91153		16		1807		7.325972			250			-1000000000
91153		17		34946		41.552972			257			-1000000000
